Main Category,Subcategory,Item
Assessments,Diagnosis,"Diagnosis and Symptoms Checklist [ADNI1,GO,2]"
Assessments,Diagnosis,"Diagnostic Summary – Baseline Changes [ADNI1,GO,2,3]"
Assessments,Diagnosis,"Diagnostic Summary [ADNI1,GO,2,3]"
Assessments,Neuropsychological,ADAS Sub-Scores and Total Scores [ADNI1]
Assessments,Neuropsychological,Alzheimer’s Disease Assessment Scale (ADAS) [ADNI1]
Assessments,Neuropsychological,"Alzheimer’s Disease Assessment Scale (ADAS) [ADNIGO,2,3]"
Assessments,Neuropsychological,"Clinical Dementia Rating Scale (CDR) [ADNI1,GO,2,3]"
Assessments,Neuropsychological,"Cognitive Change Index [ADNI2,3]"
Assessments,Neuropsychological,"Cogstate Battery Results [ADNI2,3]"
Assessments,Neuropsychological,"Everyday Cognition – Participant Self Report [ADNIGO,2,3]"
Assessments,Neuropsychological,"Everyday Cognition – Study Partner Report [ADNIGO,2,3]"
Assessments,Neuropsychological,Financial Capacity Instrument Short Form (FCI-SF) [ADNI3]
Assessments,Neuropsychological,"Functional Activities Questionnaire (FAQ) [ADNI1,GO,2,3]"
Assessments,Neuropsychological,"Geriatric Depression Scale (GDS) [ADNI1,GO,2,3]"
Assessments,Neuropsychological,"Item Level Data Dictionary (ADAS-Cog, ANART, MMSE, etc) [ADNI1]"
Assessments,Neuropsychological,"Mini-Mental State Examination (MMSE) [ADNI1,GO,2,3]"
Assessments,Neuropsychological,"Modified Hachinski Ischemia Scale [ADNI1,GO,2,3]"
Assessments,Neuropsychological,"Montreal Cognitive Assessment (MoCA) [ADNIGO,2,3]"
Assessments,Neuropsychological,"Neuropsychiatric Inventory (NPI) [ADNI2,3]"
Assessments,Neuropsychological,"Neuropsychiatric Inventory Questionnaire (NPI-Q) [ADNI1,GO,2,3]"
Assessments,Neuropsychological,"Neuropsychological Battery [ADNI1,GO,2,3]"
Assessments,Neuropsychological,"UW – Neuropsych Summary Scores Dictionary [ADNI1,GO,2]"
Assessments,Neuropsychological,"UW – Neuropsych Summary Scores [ADNI1,GO,2,3]"
