"","var","des"
"1","NACCID","Subject ID number"
"2","NACCADC","ADC at which subject was seen"
"3","PACKET","Packet code"
"4","FORMVER","Form version number"
"5","VISITMO","Form date — month"
"6","VISITDAY","Form date — day"
"7","VISITYR","Form date — year"
"8","NACCVNUM","UDS visit number (order)"
"9","NACCAVST","Total number of all UDS visits made"
"10","NACCNVST","Total number of in-person UDS visits made"
"11","NACCDAYS","Days from initial visit to most recent visit"
"12","NACCFDYS","Days from initial visit to each follow- up visit"
"13","NACCDIED","Subject is known to be deceased"
"14","NACCMOD","Month of death"
"15","NACCYOD","Year of death"
"16","NACCACTV","Follow-up status at the Alzheimer’s Disease Center (ADC)"
"17","NACCNOVS","No longer followed annually in person or by telephone"
"18","NACCDSMO","Month of discontinuation from annual follow-up"
"19","NACCDSDY","Day of discontinuation from annual follow-up"
"20","NACCDSYR","Year of discontinuation from annual follow-up"
"21","NACCNURP","Permanently moved to a nursing home"
"22","NACCNRMO","Month permanently moved to nursing home"
"23","NACCNRDY","Day permanently moved to nursing home"
"24","NACCNRYR","Year permanently moved to nursing home"
"25","NACCMDSS","Subject’s status in the Minimal Data Set (MDS) and Uniform Data Set (UDS)"
"26","NACCPAFF","Previously affiliated subject"
"27","TELCOV","Why is the UDS telephone follow-up protocol being used to obtain data about the subject? COVID pandemic precludes traditional in-person UDS visit."
"28","TELMOD","What modality of communication was used to collect this remote UDS packet?"
"29","NACCREAS","Primary reason for coming to ADC"
"30","NACCREFR","Principal referral source"
"31","BIRTHMO","Subject’s month of birth"
"32","BIRTHYR","Subject’s year of birth"
"33","SEX","Subject’s sex"
"34","HISPANIC","Hispanic/Latino ethnicity"
"35","HISPOR","Hispanic origins"
"36","HISPORX","Hispanic origins, other — specify"
"37","RACE","Race"
"38","RACEX","Race, other — specify"
"39","RACESEC","Second race"
"40","RACESECX","Second race, other — specify"
"41","RACETER","Third race"
"42","RACETERX","Third race, other — specify"
"43","PRIMLANG","Primary language"
"44","PRIMLANX","Primary language, other- specify"
"45","EDUC","Years of education"
"46","MARISTAT","Marital status"
"47","NACCLIVS","Living situation"
"48","INDEPEND","Level of independence"
"49","RESIDENC","Type of residence"
"50","HANDED","Is the subject left- or right-handed?"
"51","NACCAGE","Subject’s age at visit"
"52","NACCAGEB","Subject’s age at initial visit"
"53","NACCNIHR","Derived NIH race definitions"
"54","INBIRMO","Co-participant’s month of birth"
"55","INBIRYR","Co-participant’s year of birth"
"56","INSEX","Co-participant’s sex"
